LOCATIONID;LOCATIONNAME;ZONELEVELID;geometry;CITY
0-EU-ES-28-07-001-079-04-005;Lista;8;list(list(c(-3.676319, -3.677072, -3.677504, -3.677693, -3.678578, -3.679131, -3.67967, -3.67973, -3.679774, -3.679807, -3.679865, -3.679065, -3.678256, -3.676905, -3.669033, -3.669296, -3.670111, -3.670329, -3.67334, -3.676319, 40.436308, 40.437036, 40.437458, 40.437421, 40.437455, 40.43749, 40.43133, 40.430593, 40.430129, 40.429642, 40.428906, 40.42887, 40.428833, 40.428769, 40.428368, 40.428649, 40.429609, 40.429865, 40.433403, 40.436308)));Madrid
0-EU-ES-28-07-001-079-08-001;El Pardo;8;list(list(c(-3.73454, -3.732162, -3.732879, -3.734823, -3.742019, -3.732579, -3.730155, -3.727718, -3.711921, -3.704931, -3.711258, -3.715701, -3.715704, -3.700473, -3.695532, -3.692454, -3.674248, -3.674098, -3.665641, -3.657567, -3.654438, -3.649536, -3.643684, -3.628856, -3.625398, -3.616498, -3.607131, -3.602056, -3.604856, -3.605183, -3.606952, -3.607604, -3.608204, -3.608698, -3.610066, -3.610817, -3.61182, -3.612517, -3.613839, -3.615049, -3.616215, -3.615954, -3.616313, -3.616804, -3.616934, -3.616714, -3.616676, -3.617849, -3.617768, -3.617597, -3.617734, -3.620163, -3.639712, -3.643229, -3.649976, -3.650885, -3.661217, -3.679331, -3.685096, -3.687368, -3.68899, -3.690552, -3.690981, -3.691539, -3.694458, -3.694614, -3.696298, -3.70177, -3.702544, -3.703543, -3.706741, -3.710976, -3.714984, -3.718871, -3.722523, -3.718607, -3.726998, -3.73484, -3.738945, -3.739485, -3.739948, -3.742111, -3.742896, -3.743896, -3.744674, -3.748514, -3.750116, -3.752385, -3.756423, -3.757227, -3.757202, -3.757896, -3.765646, -3.766823, -3.767811, -3.768596, -3.76898, -3.770053, -3.771544, -3.772051, -3.77381, -3.776793, -3.77976, -3.780323, -3.78104, -3.783003, -3.783291, -3.782578, -3.784862, -3.788731, -3.791469, -3.794581, -3.804632, -3.806394, -3.809084, -3.812554, -3.812864, -3.812839, -3.80596, -3.814604, -3.826497, -3.836301, -3.841507, -3.858645, -3.868112, -3.874159, -3.883668, -3.883931, -3.883551, -3.884912, -3.888337, -3.886918, -3.883838, -3.884545, -3.873965, -3.87044, -3.863253, -3.853731, -3.853496, -3.851548, -3.853707, -3.852065, -3.836507, -3.839481, -3.834181, -3.833159, -3.836384, -3.836561, -3.827344, -3.812483, -3.804191, -3.798381, -3.796028, -3.792442, -3.790725, -3.785891, -3.783431, -3.781247, -3.779148, -3.776879, -3.771451, -3.768434, -3.764956, -3.762624, -3.76061, -3.759401, -3.758086, -3.757831, -3.75766, -3.75149, -3.75088, -3.748568, -3.747703, -3.746684, -3.746192, -3.742223, -3.744652, -3.745085, -3.745594, -3.744424, -3.743333, -3.742277, -3.739313, -3.737868, -3.736265, -3.73454, 40.501974, 40.503834, 40.506243, 40.506736, 40.509039, 40.52307, 40.522945, 40.52706, 40.532822, 40.539756, 40.548461, 40.563214, 40.569613, 40.578688, 40.579647, 40.580246, 40.589079, 40.588983, 40.592697, 40.59433, 40.589173, 40.577488, 40.576527, 40.574091, 40.573363, 40.580663, 40.585125, 40.591873, 40.59422, 40.596471, 40.596892, 40.597407, 40.598147, 40.598461, 40.598718, 40.599354, 40.599544, 40.599995, 40.600566, 40.600769, 40.601696, 40.602723, 40.603752, 40.604457, 40.605489, 40.606832, 40.607096, 40.608518, 40.608988, 40.609421, 40.609972, 40.60862, 40.600459, 40.601701, 40.602489, 40.611591, 40.622327, 40.611009, 40.608685, 40.606907, 40.604423, 40.601704, 40.600946, 40.598273, 40.593361, 40.592738, 40.589912, 40.587084, 40.586601, 40.585881, 40.584463, 40.582776, 40.586783, 40.589254, 40.595891, 40.596471, 40.598335, 40.606046, 40.611706, 40.611475, 40.610842, 40.611006, 40.6106, 40.609342, 40.610151, 40.611186, 40.611249, 40.610961, 40.612294, 40.61162, 40.61078, 40.6105, 40.613266, 40.613141, 40.61294, 40.612635, 40.611748, 40.611112, 40.612463, 40.616277, 40.617055, 40.617685, 40.618372, 40.617808, 40.617869, 40.619908, 40.620618, 40.621956, 40.621812, 40.620536, 40.618918, 40.614851, 40.612717, 40.613024, 40.612501, 40.611943, 40.61029, 40.607789, 40.599638, 40.594883, 40.594681, 40.591522, 40.592377, 40.588065, 40.592374, 40.591243, 40.585513, 40.583606, 40.57894, 40.574551, 40.571145, 40.566396, 40.564076, 40.561409, 40.55758, 40.549742, 40.53482, 40.524915, 40.520072, 40.517325, 40.512439, 40.509924, 40.506393, 40.499512, 40.493969, 40.485735, 40.480627, 40.479771, 40.477116, 40.472917, 40.470461, 40.469671, 40.469914, 40.470965, 40.471852, 40.473255, 40.47389, 40.474391, 40.47452, 40.47452, 40.474374, 40.474034, 40.473146, 40.472678, 40.472807, 40.473226, 40.473726, 40.476565, 40.478355, 40.478886, 40.478594, 40.478482, 40.478372, 40.477944, 40.478238, 40.480781, 40.482323, 40.4828, 40.483616, 40.485485, 40.486647, 40.488464, 40.491125, 40.494144, 40.497444, 40.501974)));Madrid
0-EU-ES-28-07-001-079-09-003;Ciudad Universitaria;8;list(list(c(-3.728519, -3.728731, -3.730745, -3.733784, -3.735655, -3.740609, -3.741745, -3.747442, -3.748245, -3.748617, -3.749724, -3.751137, -3.751579, -3.757607, -3.757782, -3.758042, -3.760546, -3.762658, -3.765556, -3.764837, -3.764161, -3.763313, -3.762574, -3.762015, -3.762709, -3.762211, -3.762498, -3.760279, -3.759111, -3.758339, -3.757326, -3.757259, -3.760294, -3.760588, -3.760965, -3.76123, -3.761573, -3.761985, -3.762264, -3.762809, -3.759506, -3.755266, -3.752566, -3.750008, -3.748751, -3.746627, -3.745738, -3.741925, -3.739857, -3.73911, -3.737999, -3.73444, -3.733351, -3.726446, -3.723132, -3.721612, -3.719334, -3.719293, -3.71897, -3.718278, -3.718106, -3.718007, -3.717856, -3.717673, -3.71761, -3.717591, -3.717712, -3.718387, -3.719142, -3.719566, -3.719805, -3.719977, -3.719839, -3.719655, -3.719506, -3.718249, -3.718062, -3.717459, -3.716984, -3.716136, -3.714812, -3.714454, -3.712474, -3.710639, -3.70934, -3.708944, -3.708475, -3.70871, -3.709284, -3.709801, -3.71078, -3.711666, -3.712105, -3.713301, -3.712689, -3.71298, -3.713088, -3.713156, -3.713061, -3.712451, -3.711647, -3.711431, -3.711443, -3.712262, -3.713769, -3.718245, -3.718712, -3.71893, -3.719248, -3.719409, -3.719535, -3.719558, -3.71943, -3.718972, -3.718965, -3.719592, -3.720045, -3.720311, -3.720742, -3.720971, -3.721145, -3.721298, -3.72161, -3.722161, -3.722384, -3.723719, -3.7238, -3.723909, -3.724413, -3.724462, -3.72511, -3.727045, -3.728085, -3.728519, 40.472503, 40.472749, 40.472588, 40.47272, 40.473098, 40.474245, 40.474336, 40.474421, 40.474421, 40.474404, 40.474814, 40.47581, 40.478858, 40.47829, 40.476385, 40.473676, 40.472739, 40.472644, 40.473259, 40.471415, 40.46966, 40.467193, 40.465075, 40.463424, 40.461208, 40.461148, 40.460139, 40.457273, 40.45548, 40.45414, 40.453252, 40.451207, 40.449979, 40.449703, 40.449602, 40.449676, 40.449761, 40.449771, 40.449708, 40.4495, 40.447873, 40.446044, 40.444914, 40.4437, 40.443019, 40.44143, 40.440781, 40.437946, 40.435465, 40.434891, 40.434455, 40.434192, 40.434362, 40.436041, 40.437485, 40.436602, 40.435539, 40.435601, 40.435619, 40.435523, 40.436451, 40.437106, 40.437902, 40.439018, 40.439229, 40.439429, 40.44003, 40.441303, 40.442713, 40.443453, 40.443727, 40.444931, 40.445153, 40.445298, 40.445466, 40.446701, 40.446715, 40.446704, 40.446573, 40.446259, 40.445798, 40.44579, 40.446268, 40.446729, 40.44708, 40.447128, 40.447174, 40.447583, 40.448496, 40.449285, 40.450759, 40.452209, 40.452452, 40.453089, 40.453927, 40.454492, 40.45475, 40.454937, 40.455287, 40.456107, 40.45722, 40.457493, 40.457563, 40.457637, 40.458004, 40.459384, 40.459518, 40.459584, 40.459728, 40.459824, 40.459972, 40.460258, 40.460578, 40.461154, 40.461388, 40.462323, 40.46284, 40.462965, 40.46323, 40.463403, 40.463716, 40.46382, 40.463926, 40.464008, 40.464085, 40.464516, 40.465262, 40.465922, 40.467801, 40.467867, 40.468478, 40.470762, 40.471927, 40.472503)));Madrid
0-EU-ES-28-07-001-079-09-004;Valdezarza;8;list(list(c(-3.71144, -3.710664, -3.709084, -3.708371, -3.708764, -3.70916, -3.709223, -3.709238, -3.709238, -3.709216, -3.709287, -3.709429, -3.710115, -3.710335, -3.710478, -3.711401, -3.712356, -3.713247, -3.714424, -3.717057, -3.720558, -3.722369, -3.723537, -3.725376, -3.726159, -3.727361, -3.727829, -3.728513, -3.728727, -3.728503, -3.728091, -3.72724, -3.726353, -3.725106, -3.72446, -3.724408, -3.723907, -3.723796, -3.723714, -3.722157, -3.72161, -3.721301, -3.721143, -3.720966, -3.720753, -3.720318, -3.720047, -3.71985, -3.719562, -3.718966, -3.718961, -3.719417, -3.719554, -3.719528, -3.719416, -3.719255, -3.718925, -3.714823, -3.713727, -3.712271, -3.71144, 40.457563, 40.458709, 40.461104, 40.462271, 40.462918, 40.463545, 40.463788, 40.463942, 40.464039, 40.464118, 40.464245, 40.464417, 40.465182, 40.465498, 40.465709, 40.466566, 40.467633, 40.468581, 40.469674, 40.470356, 40.471266, 40.471752, 40.472065, 40.472567, 40.472678, 40.472492, 40.472513, 40.472789, 40.472756, 40.472497, 40.471944, 40.47099, 40.469958, 40.468478, 40.467869, 40.467799, 40.465929, 40.465253, 40.464519, 40.46401, 40.463929, 40.463824, 40.463721, 40.463403, 40.46324, 40.462974, 40.462844, 40.462626, 40.462292, 40.461397, 40.46116, 40.460587, 40.460248, 40.459981, 40.459834, 40.459738, 40.45959, 40.458336, 40.457993, 40.45764, 40.457563)));Madrid
0-EU-ES-28-07-001-079-11-006;Buena Vista;8;list(list(c(-3.755812, -3.756669, -3.757466, -3.75787, -3.757973, -3.761845, -3.761931, -3.762243, -3.762292, -3.762365, -3.762721, -3.762845, -3.762863, -3.762817, -3.762394, -3.761792, -3.760207, -3.759385, -3.757467, -3.75745, -3.755765, -3.754989, -3.755183, -3.753664, -3.753604, -3.75369, -3.752758, -3.75053, -3.750472, -3.750013, -3.748762, -3.747692, -3.747091, -3.746824, -3.746652, -3.746463, -3.746367, -3.746323, -3.746267, -3.746259, -3.746092, -3.745699, -3.745342, -3.744939, -3.743575, -3.743182, -3.742815, -3.742404, -3.741326, -3.742165, -3.743437, -3.744455, -3.743691, -3.743256, -3.742366, -3.7421, -3.742026, -3.741957, -3.741974, -3.742006, -3.742065, -3.743154, -3.743209, -3.744069, -3.745423, -3.74642, -3.746899, -3.747162, -3.747692, -3.748379, -3.748883, -3.749123, -3.749541, -3.749765, -3.750345, -3.750216, -3.750355, -3.750828, -3.750776, -3.750103, -3.752079, -3.753238, -3.753839, -3.755114, -3.755608, -3.755812, 40.378431, 40.378196, 40.377023, 40.376221, 40.375503, 40.374471, 40.374463, 40.372646, 40.372653, 40.372212, 40.370166, 40.369422, 40.368936, 40.368695, 40.367915, 40.366824, 40.366485, 40.366307, 40.365916, 40.365773, 40.365704, 40.365655, 40.363635, 40.363607, 40.364323, 40.364647, 40.364918, 40.364727, 40.365078, 40.365318, 40.365249, 40.365161, 40.365124, 40.365138, 40.365215, 40.36533, 40.365493, 40.366026, 40.366618, 40.366752, 40.366958, 40.367269, 40.367453, 40.367499, 40.36737, 40.367453, 40.367635, 40.367836, 40.367831, 40.368378, 40.369208, 40.369685, 40.370427, 40.370752, 40.371578, 40.371979, 40.372199, 40.372572, 40.372737, 40.373005, 40.37324, 40.373232, 40.372983, 40.372864, 40.372935, 40.372865, 40.372904, 40.372982, 40.373238, 40.373444, 40.373592, 40.373667, 40.373906, 40.374136, 40.374133, 40.374756, 40.37492, 40.375558, 40.37577, 40.376402, 40.376752, 40.376967, 40.377134, 40.37776, 40.378136, 40.378431)));Madrid
0-EU-ES-28-07-001-079-12-004;Almendrales;8;list(list(c(-3.705744, -3.705294, -3.704751, -3.703075, -3.700329, -3.699888, -3.695796, -3.692132, -3.697695, -3.698082, -3.698676, -3.699137, -3.699427, -3.699717, -3.702389, -3.703681, -3.705744, 40.385834, 40.383226, 40.380145, 40.381092, 40.378287, 40.378592, 40.38032, 40.384113, 40.388703, 40.389121, 40.388736, 40.388389, 40.388143, 40.387991, 40.386236, 40.38608, 40.385834)));Madrid
0-EU-ES-28-07-001-079-12-001;Orcasitas;8;list(list(c(-3.718305, -3.716529, -3.714227, -3.711345, -3.706958, -3.705153, -3.703786, -3.703438, -3.703804, -3.704417, -3.709702, -3.712206, -3.714268, -3.715296, -3.71704, -3.719685, -3.720229, -3.720717, -3.720535, -3.718305, 40.364657, 40.364513, 40.364271, 40.364057, 40.363754, 40.36365, 40.368365, 40.371115, 40.371148, 40.371207, 40.372646, 40.373283, 40.373742, 40.373779, 40.373808, 40.373806, 40.369327, 40.364782, 40.364785, 40.364657)));Madrid
0-EU-ES-28-07-001-079-13-005;Portazgo;8;list(list(c(-3.654017, -3.654171, -3.653967, -3.653718, -3.652922, -3.653065, -3.653062, -3.653071, -3.652855, -3.651932, -3.65097, -3.650456, -3.649936, -3.648926, -3.648446, -3.648308, -3.647813, -3.643883, -3.640426, -3.639975, -3.642857, -3.644784, -3.647147, -3.648246, -3.651692, -3.652822, -3.653544, -3.653773, -3.654017, 40.392309, 40.391584, 40.391569, 40.391344, 40.389237, 40.38669, 40.386382, 40.384012, 40.381404, 40.381575, 40.381854, 40.382052, 40.382291, 40.382923, 40.383342, 40.383493, 40.384001, 40.389081, 40.393777, 40.394752, 40.395528, 40.396539, 40.398478, 40.397701, 40.39542, 40.394496, 40.393744, 40.39335, 40.392309)));Madrid
0-EU-ES-28-07-001-079-14-001;Pavones;8;list(list(c(-3.634326, -3.634364, -3.636119, -3.639555, -3.639975, -3.629715, -3.628581, -3.627518, -3.626022, -3.625529, -3.625231, -3.625534, -3.625894, -3.626217, -3.626643, -3.627028, -3.62782, -3.628206, -3.634326, 40.403741, 40.403684, 40.400973, 40.395875, 40.394752, 40.392531, 40.394514, 40.396918, 40.402009, 40.403018, 40.403629, 40.403727, 40.403843, 40.403949, 40.404176, 40.404392, 40.403815, 40.403841, 40.403741)));Madrid
0-EU-ES-28-07-001-079-14-002;Horcajo;8;list(list(c(-3.626312, -3.627607, -3.627889, -3.628646, -3.629806, -3.631079, -3.631394, -3.633355, -3.634326, -3.633183, -3.628215, -3.627819, -3.627028, -3.626675, -3.626218, -3.625232, -3.624575, -3.623891, -3.623101, -3.62088, -3.620367, -3.622686, -3.62506, -3.625447, -3.626312, 40.413834, 40.414308, 40.413815, 40.412409, 40.410281, 40.407951, 40.407439, 40.405072, 40.403741, 40.403761, 40.403841, 40.403815, 40.404392, 40.404196, 40.403948, 40.403629, 40.404887, 40.40619, 40.407633, 40.412073, 40.413048, 40.413133, 40.413475, 40.413539, 40.413834)));Madrid
0-EU-ES-28-07-001-079-18-002;Santa Eugenia;8;list(list(c(-3.625215, -3.62486, -3.619196, -3.619034, -3.618842, -3.617309, -3.618397, -3.617511, -3.617293, -3.61727, -3.614969, -3.613663, -3.610302, -3.609103, -3.608382, -3.605934, -3.603509, -3.602841, -3.602549, -3.60215, -3.601897, -3.601567, -3.601183, -3.60073, -3.600899, -3.599787, -3.599278, -3.598818, -3.597871, -3.599273, -3.599654, -3.600482, -3.600913, -3.601302, -3.601859, -3.602485, -3.603195, -3.60388, -3.606112, -3.608039, -3.608973, -3.610689, -3.613257, -3.617449, -3.621868, -3.623892, -3.624505, -3.625029, -3.625325, -3.625215, 40.38312, 40.382032, 40.383382, 40.382904, 40.382646, 40.381388, 40.380816, 40.380874, 40.380113, 40.379501, 40.379402, 40.379298, 40.378657, 40.378221, 40.377894, 40.376859, 40.375945, 40.376161, 40.376243, 40.37626, 40.376278, 40.376348, 40.376482, 40.376716, 40.377096, 40.377596, 40.378465, 40.379009, 40.379597, 40.382011, 40.382366, 40.38245, 40.382733, 40.383113, 40.38592, 40.386375, 40.386723, 40.386814, 40.385997, 40.387317, 40.387764, 40.388395, 40.388983, 40.389859, 40.39081, 40.38595, 40.384478, 40.383828, 40.383461, 40.38312)));Madrid
